OBJECTID *;ESTADO_SUPERFICIAL;FECHA_ESTADO;CalCodigo *
1;SATISFACTORIO;31/12/2024;322232
2;SATISFACTORIO;31/12/2024;387502
3;SATISFACTORIO;31/12/2024;381359
4;BUENO;31/12/2024;292616
5;SATISFACTORIO;31/12/2024;174259
6;BUENO;31/12/2024;298499
7;BUENO;31/12/2024;172552
8;BUENO;31/12/2024;138737
9;SATISFACTORIO;31/12/2024;351160
10;GRAVE;31/12/2024;91012838
11;GRAVE;31/12/2024;152736
12;SATISFACTORIO;31/12/2024;151260
13;BUENO;31/12/2024;386885
14;SATISFACTORIO;31/12/2024;350205
15;SATISFACTORIO;31/12/2024;156186
16;BUENO;31/12/2024;423798
17;SATISFACTORIO;31/12/2024;91012752
18;BUENO;31/12/2024;172031
19;BUENO;31/12/2024;292765
20;GRAVE;31/12/2024;478417
21;SATISFACTORIO;31/12/2024;526567
22;SATISFACTORIO;31/12/2024;380642
23;SATISFACTORIO;31/12/2024;149304
24;SATISFACTORIO;31/12/2024;355295
25;BUENO;31/12/2024;290232
26;8;31/12/2024;175270
27;SATISFACTORIO;31/12/2024;412668
28;SATISFACTORIO;31/12/2024;152499
29;JUSTO;31/12/2024;445592
30;SATISFACTORIO;31/12/2024;440771
31;SATISFACTORIO;31/12/2024;91016600
32;BUENO;31/12/2024;24124340
33;SATISFACTORIO;31/12/2024;359556
34;GRAVE;31/12/2024;91021873
35;BUENO;31/12/2024;91022133
36;JUSTO;31/12/2024;463894
37;SATISFACTORIO;31/12/2024;158126
38;JUSTO;31/12/2024;445362
39;BUENO;31/12/2024;416633
40;BUENO;31/12/2024;367954
41;JUSTO;31/12/2024;300743
42;SATISFACTORIO;31/12/2024;172522
43;BUENO;31/12/2024;172548
44;SATISFACTORIO;31/12/2024;527859
45;SATISFACTORIO;31/12/2024;352630
46;BUENO;31/12/2024;293453
47;SATISFACTORIO;31/12/2024;387817
48;GRAVE;31/12/2024;449253
49;SATISFACTORIO;31/12/2024;803268
50;JUSTO;31/12/2024;361350
