Sector,Entidad,Tipo de gasto,Régimen de contratación,Tipología específica,Contratistas,Valor total reportado
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Otros Servicios,1,$ 789856487
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),33,$ 1002777001
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Servicios Profesionales,181,$ 10710624447
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 28000000
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Servicios Profesionales,4,$ 367150000
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),71,$ 1812777605
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Inversión,Ley 80,Servicios Profesionales,253,$ 12446166668
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),408,$ 10129798325
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Inversión,Ley 80,Servicios Profesionales,483,$ 23814750142
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Otro,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 0
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Otro,Ley 80,Servicios Profesionales,3,$ 0
Ambiente,Secretaría Distrital de Ambiente,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),11,$ 343086000
Ambiente,Secretaría Distrital de Ambiente,Funcionamiento,Ley 80,Servicios Profesionales,52,$ 4620998200
Ambiente,Secretaría Distrital de Ambiente,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),135,$ 3154740166
Ambiente,Secretaría Distrital de Ambiente,Inversión,Ley 80,Servicios Profesionales,911,$ 55334378975
Ambiente,Secretaría Distrital de Ambiente,Otro,Ley 80,Servicios Profesionales,66,$ 0
Concejo de Bogotá y órganos de control,Contraloría de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,58,$ 1444545676
Concejo de Bogotá y órganos de control,Contraloría de Bogotá D.C.,Inversión,Ley 80,Servicios Profesionales,403,$ 10741005832
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),42,$ 887332000
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,285,$ 12163200000
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),29,$ 663516000
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Inversión,Ley 80,Servicios Profesionales,71,$ 2998260000
Concejo de Bogotá y órganos de control,Veeduría Distrital de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),15,$ 504680380
Concejo de Bogotá y órganos de control,Veeduría Distrital de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,106,$ 6009916369
Concejo de Bogotá y órganos de control,Veeduría Distrital de Bogotá D.C.,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),2,$ 81401000
Concejo de Bogotá y órganos de control,Veeduría Distrital de Bogotá D.C.,Inversión,Ley 80,Servicios Profesionales,18,$ 1087700000
Cultura Recreación y Deporte,Canal Capital,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),44,$ 1669062671
Cultura Recreación y Deporte,Canal Capital,Funcionamiento,Privado,Servicios Profesionales,105,$ 5441277192
Cultura Recreación y Deporte,Canal Capital,Inversión,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),5,$ 346146000
Cultura Recreación y Deporte,Canal Capital,Inversión,Privado,Servicios Profesionales,76,$ 4112297000
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Funcionamiento,Ley 80,Otros Servicios,1,$ 75193463
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),7,$ 348836500
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Funcionamiento,Ley 80,Servicios Profesionales,87,$ 6393227560
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),4,$ 122235900
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Inversión,Ley 80,Servicios Profesionales,4,$ 149564140
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Inversión,Ley 80,Otros Servicios,1,$ 419999838
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),549,$ 20531106304
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Inversión,Ley 80,Servicios Profesionales,1088,$ 50933393607
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Otro,Ley 80,Otros Servicios,2,$ 0
Cultura Recreación y Deporte,Instituto Distrital de Recreación y Deporte – IDRD,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 41008000
Cultura Recreación y Deporte,Instituto Distrital de Recreación y Deporte – IDRD,Funcionamiento,Ley 80,Servicios Profesionales,3,$ 151004000
Cultura Recreación y Deporte,Instituto Distrital de Recreación y Deporte – IDRD,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),651,$ 16924589733
Cultura Recreación y Deporte,Instituto Distrital de Recreación y Deporte – IDRD,Inversión,Ley 80,Servicios Profesionales,492,$ 28756219718
Cultura Recreación y Deporte,Instituto Distrital del Patrimonio Cultural - IDPC,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 32327630
Cultura Recreación y Deporte,Instituto Distrital del Patrimonio Cultural - IDPC,Funcionamiento,Ley 80,Servicios Profesionales,4,$ 286239830
Cultura Recreación y Deporte,Instituto Distrital del Patrimonio Cultural - IDPC,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),54,$ 1873471854
Cultura Recreación y Deporte,Instituto Distrital del Patrimonio Cultural - IDPC,Inversión,Ley 80,Servicios Profesionales,202,$ 12185338864
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Funcionamiento,Ley 80,Servicios Profesionales,3,$ 318256700
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),22,$ 680553061
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Inversión,Ley 80,Servicios Artísticos,6,$ 132776853
Cultura Recreación y Deporte,Orquesta Filarmónica de Bogotá - OFB,Inversión,Ley 80,Servicios Profesionales,440,$ 20166585716
Cultura Recreación y Deporte,Secretaría Distrital de Cultura Recreación y Deporte,Inversión,Ley 80,Otros Servicios,1,$ 13294707
Cultura Recreación y Deporte,Secretaría Distrital de Cultura Recreación y Deporte,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),49,$ 1856789628
Cultura Recreación y Deporte,Secretaría Distrital de Cultura Recreación y Deporte,Inversión,Ley 80,Servicios Profesionales,460,$ 36602199177
Cultura Recreación y Deporte,Secretaría Distrital de Cultura Recreación y Deporte,Otro,Ley 80,Servicios Profesionales,3,$ 268935360
Desarrollo Económico Industria y Turismo,Instituto Distrital de Turismo - IDT,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),38,$ 1155589507
Desarrollo Económico Industria y Turismo,Instituto Distrital de Turismo - IDT,Inversión,Ley 80,Servicios Profesionales,93,$ 5496820382
Desarrollo Económico Industria y Turismo,Instituto para la Economía Social - IPES,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),121,$ 3587152966
Desarrollo Económico Industria y Turismo,Instituto para la Economía Social - IPES,Inversión,Ley 80,Servicios Profesionales,181,$ 13129027282
Desarrollo Económico Industria y Turismo,Secretaría Distrital de Desarrollo Económico,Inversión,Ley 80,Otros Servicios,1,$ 48800884
Desarrollo Económico Industria y Turismo,Secretaría Distrital de Desarrollo Económico,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),109,$ 2956610700
Desarrollo Económico Industria y Turismo,Secretaría Distrital de Desarrollo Económico,Inversión,Ley 80,Servicios Profesionales,525,$ 38075884536
Educación,"Agencia Distrital para la Educación Superior, la Ciencia y la Tecnología - ATENEA",Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),6,$ 255337600
Educación,"Agencia Distrital para la Educación Superior, la Ciencia y la Tecnología - ATENEA",Inversión,Ley 80,Servicios Profesionales,366,$ 35201479414
Educación,Instituto para la Investigación Educativa y el Desarrollo Pedagógico - IDEP,Inversión,Ley 80,Servicios Profesionales,43,$ 2766950107
Educación,Secretaría de Educación del Distrito,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),45,$ 781492233
Educación,Secretaría de Educación del Distrito,Funcionamiento,Ley 80,Servicios Profesionales,6,$ 628207600
Educación,Secretaría de Educación del Distrito,Inversión,Ley 80,Otros Servicios,1,$ 48704320
