Sector,Entidad,Tipo de gasto,Régimen,Tipologia especifica,Contratos,Valor total reportaddo
Localidades,Fondo de Desarrollo Local Santa Fé,Funcionamiento,Ley 80,Otros Servicios,1,$ 30480203
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Funcionamiento,Ley 80,Otros Servicios,1,$ 75193463
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Otros Servicios,1,$ 128987245
Localidades,Fondo de Desarrollo Local San Cristóbal,Inversión,Ley 80,Otros Servicios,2,$ 88800000
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Otros Servicios,1,$ 789856487
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Inversión,Ley 80,Otros Servicios,1,$ 419999838
Educación,Secretaría de Educación del Distrito,Inversión,Ley 80,Otros Servicios,1,$ 48704320
Cultura Recreación y Deporte,Secretaría Distrital de Cultura Recreación y Deporte,Inversión,Ley 80,Otros Servicios,1,$ 14524770
Cultura Recreación y Deporte,Instituto Distrital de las Artes - IDARTES,Otro,Ley 80,Otros Servicios,2,$ 0
Hábitat,Caja de Vivienda Popular - CVP,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),7,$ 239040833
Movilidad,Empresa de Transporte del Tercer Milenio - TRANSMILENIO S.A.,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),22,$ 813537240
Localidades,Fondo de Desarrollo Local Usaquén,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),2,$ 24200000
Hacienda,"Fondo De Prestaciones Económicas, Cesantías Y Pensiones - FONCEP",Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),15,$ 533114733
Cultura Recreación y Deporte,Fundación Gilberto Álzate Avendaño - FUGA,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),7,$ 348836500
Gobierno,Instituto Distrital de la Participación y Acción Comunal - IDPAC,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),8,$ 170916000
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 28000000
