Sector,Entidad,Tipo de gasto,Régimen de contratación,Tipología específica,Contratistas,Valor total reportado
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),55,$ 1662225014
Ambiente,Instituto Distrital de la Gestión del Riesgo y Cambio Climático - IDIGER,Inversión,Ley 80,Servicios Profesionales,295,$ 18869981925
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Otros Servicios,1,$ 128987245
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 28000000
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Funcionamiento,Ley 80,Servicios Profesionales,6,$ 431750000
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),88,$ 2049875332
Ambiente,Instituto Distrital de Protección y Bienestar Animal – IDPYBA,Inversión,Ley 80,Servicios Profesionales,333,$ 15041784999
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),450,$ 11011380169
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Inversión,Ley 80,Servicios Profesionales,536,$ 26127340546
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Otro,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 0
Ambiente,"Jardín Botánico ""José Celestino Mutis""",Otro,Ley 80,Servicios Profesionales,4,$ 0
Ambiente,Secretaría Distrital de Ambiente,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),10,$ 330462000
Ambiente,Secretaría Distrital de Ambiente,Funcionamiento,Ley 80,Servicios Profesionales,49,$ 4539832733
Ambiente,Secretaría Distrital de Ambiente,Inversión,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),140,$ 3384812499
Ambiente,Secretaría Distrital de Ambiente,Inversión,Ley 80,Servicios Profesionales,1011,$ 60169652875
Ambiente,Secretaría Distrital de Ambiente,Otro,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),1,$ 0
Ambiente,Secretaría Distrital de Ambiente,Otro,Ley 80,Servicios Profesionales,48,$ 0
Concejo de Bogotá y órganos de control,Contraloría de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,120,$ 2417185863
Concejo de Bogotá y órganos de control,Contraloría de Bogotá D.C.,Inversión,Ley 80,Servicios Profesionales,384,$ 8062152400
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),89,$ 1691765335
Concejo de Bogotá y órganos de control,Personería de Bogotá D.C.,Funcionamiento,Ley 80,Servicios Profesionales,415,$ 18897778702
